respondent_id,contact_date,channel,action_type,time_to_response_hours
R059,2024-10-11,LinkedIn,sent,
R059,2024-04-04,Phone,replied,47
R060,2024-02-10,LinkedIn,scheduled,
R060,2024-05-28,Phone,declined,
R060,2024-07-22,Phone,sent,
R060,2024-09-23,LinkedIn,sent,
R060,2024-01-02,Phone,sent,
R060,2024-06-26,Phone,sent,
R060,2024-07-12,LinkedIn,opened,
R060,2024-12-01,Phone,opened,
R061,2024-07-14,Email,sent,
R061,2024-12-08,LinkedIn,opened,
R061,2024-09-05,Email,replied,35
R061,2024-07-30,Phone,sent,
R062,2024-06-01,Email,opened,
R062,2024-06-06,Email,sent,
R062,2024-12-27,Phone,sent,
R063,2024-05-18,Phone,sent,
R063,2024-08-08,LinkedIn,opened,
R063,2024-09-29,LinkedIn,sent,
R063,2024-06-02,Email,sent,
R063,2024-09-05,Phone,no_response,
R063,2024-10-05,LinkedIn,sent,
R063,2024-10-30,Phone,sent,
R063,2024-10-02,Email,opened,
R064,2024-01-02,LinkedIn,sent,
R064,2024-03-28,Email,scheduled,
R064,2024-10-13,LinkedIn,opened,
R064,2024-05-09,LinkedIn,sent,
R065,2024-03-18,Email,sent,
R065,2024-09-16,Email,replied,62
R065,2024-08-28,Phone,sent,
R065,2024-05-20,Email,replied,3
R066,2024-08-15,LinkedIn,opened,
R066,2024-06-11,LinkedIn,no_response,
R066,2024-08-23,LinkedIn,replied,20
R067,2024-05-07,Phone,declined,
R067,2024-07-18,Phone,opened,
R067,2024-01-31,Phone,clicked,
R067,2024-05-17,Phone,clicked,
R068,2024-01-21,Email,opened,
R068,2024-08-21,LinkedIn,sent,
R068,2024-07-20,LinkedIn,clicked,
R068,2024-10-05,LinkedIn,sent,
R068,2024-05-10,Phone,sent,
R068,2024-05-27,LinkedIn,opened,
R068,2024-01-29,Phone,sent,
R069,2024-12-26,Email,declined,
R069,2024-11-03,Email,no_response,
R069,2024-06-10,Email,replied,44
R070,2024-12-22,LinkedIn,clicked,
R070,2024-12-05,LinkedIn,opened,
R070,2024-03-01,Phone,sent,
R070,2024-05-04,LinkedIn,opened,
R070,2024-03-11,LinkedIn,sent,
R070,2024-11-21,Email,sent,
R070,2024-12-29,Phone,scheduled,
R071,2024-08-30,LinkedIn,sent,
R071,2024-09-05,LinkedIn,sent,
R071,2024-08-08,LinkedIn,declined,
R071,2024-01-21,Phone,sent,
R071,2024-03-22,Email,sent,
R072,2024-12-09,Phone,sent,
R072,2024-01-10,Email,scheduled,
R072,2024-01-12,LinkedIn,opened,
R072,2024-09-19,LinkedIn,clicked,
R072,2024-05-24,LinkedIn,sent,
R072,2024-07-10,Email,clicked,
R073,2024-09-06,Email,opened,
R073,2024-04-23,Email,sent,
R073,2024-01-26,Email,sent,
R073,2024-09-27,Email,opened,
R073,2024-02-02,Phone,opened,
R074,2024-03-02,Email,declined,
R074,2024-08-16,Email,sent,
R074,2024-10-29,Email,clicked,
R075,2024-04-04,Phone,sent,
R075,2024-02-04,Phone,opened,
R075,2024-07-11,Phone,opened,
R075,2024-03-16,Email,no_response,
R075,2024-09-05,Phone,no_response,
R075,2024-03-23,Phone,opened,
R076,2024-01-25,Email,scheduled,
R076,2024-02-26,Phone,sent,
R076,2024-02-01,Email,declined,
R076,2024-11-14,Phone,opened,
R076,2024-01-12,Phone,sent,
R076,2024-11-14,Phone,sent,
R076,2024-11-28,Phone,sent,
R077,2024-04-01,Phone,sent,
R077,2024-01-01,LinkedIn,sent,
R077,2024-11-21,Email,sent,
R078,2024-05-15,Phone,scheduled,
R078,2024-07-14,Email,sent,
R078,2024-05-12,Email,sent,
R078,2024-03-26,Phone,no_response,
R078,2024-10-21,Phone,sent,
R078,2024-10-05,Phone,no_response,
R079,2024-11-19,Email,clicked,
R079,2024-06-28,Email,sent,
R079,2024-01-04,Email,sent,
R080,2024-05-05,Phone,sent,
R080,2024-06-23,LinkedIn,sent,
R080,2024-09-07,LinkedIn,sent,
R080,2024-01-21,LinkedIn,sent,
R080,2024-04-14,LinkedIn,sent,
R080,2024-03-06,LinkedIn,opened,
R081,2024-09-19,LinkedIn,sent,
R081,2024-02-18,LinkedIn,declined,
R081,2024-01-16,LinkedIn,sent,
R081,2024-05-24,LinkedIn,no_response,
R081,2024-12-05,LinkedIn,sent,
R082,2024-09-06,Phone,scheduled,
R082,2024-12-08,LinkedIn,sent,
R082,2024-12-19,Phone,opened,
R083,2024-03-15,Email,sent,
R083,2024-10-16,Phone,opened,
R083,2024-10-08,Phone,sent,
R083,2024-03-06,Email,opened,
R083,2024-05-04,Phone,sent,
R083,2024-11-14,LinkedIn,opened,
R083,2024-03-27,Phone,sent,
R083,2024-02-10,Phone,sent,
R084,2024-07-04,Email,clicked,
R084,2024-12-19,Email,replied,32
R084,2024-11-30,Email,opened,
R084,2024-09-22,LinkedIn,no_response,
R084,2024-09-27,Phone,clicked,
R084,2024-02-11,LinkedIn,opened,
R084,2024-04-02,Phone,sent,
R084,2024-07-03,Email,sent,
R085,2024-08-02,Email,no_response,
R085,2024-01-17,Phone,sent,
R085,2024-09-21,Email,opened,
R085,2024-04-23,Phone,opened,
R085,2024-10-18,Phone,sent,
R085,2024-10-18,Email,sent,
R085,2024-02-17,Phone,opened,
R086,2024-11-02,Email,sent,
R086,2024-04-06,Email,sent,
R086,2024-04-04,Phone,sent,
R086,2024-11-21,LinkedIn,replied,26
R086,2024-03-14,Email,sent,
R086,2024-12-01,Email,clicked,
R087,2024-03-08,Email,sent,
R087,2024-09-02,LinkedIn,sent,
R087,2024-03-17,Phone,replied,48
R087,2024-07-26,LinkedIn,no_response,
R087,2024-09-10,LinkedIn,sent,
R087,2024-08-08,LinkedIn,opened,
R087,2024-09-18,LinkedIn,sent,
R088,2024-11-26,LinkedIn,no_response,
R088,2024-12-09,LinkedIn,sent,
R088,2024-09-15,LinkedIn,replied,5
R088,2024-11-03,LinkedIn,clicked,
R089,2024-03-14,LinkedIn,sent,
R089,2024-05-04,LinkedIn,no_response,
R089,2024-07-06,LinkedIn,replied,59
R089,2024-09-10,LinkedIn,sent,
R089,2024-11-16,LinkedIn,no_response,
R089,2024-11-03,LinkedIn,declined,
R090,2024-08-22,Phone,no_response,
R090,2024-09-06,Email,replied,61
R090,2024-11-27,Email,opened,
R090,2024-12-10,Email,no_response,
R090,2024-03-12,Email,replied,49
R091,2024-08-22,Phone,opened,
R091,2024-11-19,Phone,opened,
R091,2024-06-04,LinkedIn,sent,
R091,2024-04-24,Email,declined,
R091,2024-11-08,Phone,clicked,
R091,2024-08-15,LinkedIn,sent,
R092,2024-11-17,Email,opened,
R092,2024-12-11,Email,sent,
R092,2024-09-01,Email,sent,
R092,2024-11-01,LinkedIn,opened,
R092,2024-01-14,Email,opened,
R092,2024-01-16,LinkedIn,replied,30
R092,2024-02-11,Email,clicked,
R093,2024-04-19,LinkedIn,replied,17
R093,2024-10-04,Email,sent,
R093,2024-11-19,Email,replied,70
R093,2024-01-19,LinkedIn,sent,
R093,2024-03-06,Email,declined,
R094,2024-06-15,LinkedIn,opened,
R094,2024-03-13,LinkedIn,sent,
R094,2024-11-05,Phone,sent,
R094,2024-04-21,LinkedIn,sent,
R094,2024-09-30,LinkedIn,scheduled,
R094,2024-03-25,LinkedIn,sent,
R095,2024-05-18,LinkedIn,replied,58
R095,2024-02-08,Email,sent,
R095,2024-04-14,LinkedIn,replied,63
R095,2024-11-19,Phone,sent,
R096,2024-10-07,Phone,sent,
R096,2024-05-02,Phone,sent,
R096,2024-08-05,Phone,no_response,
R096,2024-03-01,Phone,opened,
R096,2024-04-09,Phone,sent,
R097,2024-11-02,Phone,sent,
R097,2024-12-19,Email,sent,
R097,2024-07-22,Email,clicked,
R097,2024-09-14,Email,sent,
R097,2024-01-05,LinkedIn,no_response,
R098,2024-07-15,LinkedIn,opened,
R098,2024-06-28,Email,no_response,
R098,2024-12-07,Email,opened,
R098,2024-05-12,Email,sent,
R098,2024-11-19,LinkedIn,replied,61
R098,2024-09-09,Email,sent,
R098,2024-09-21,Phone,sent,
R098,2024-04-02,Phone,no_response,
R099,2024-05-29,Phone,sent,
R099,2024-05-17,Phone,opened,
R099,2024-07-26,Phone,sent,
R099,2024-05-04,LinkedIn,sent,
R099,2024-08-21,Phone,sent,
R099,2024-03-01,Phone,sent,
R099,2024-11-02,Phone,sent,
R099,2024-09-22,Phone,replied,63
R100,2024-05-13,LinkedIn,opened,
R100,2024-11-13,LinkedIn,opened,
R100,2024-04-22,LinkedIn,opened,
R100,2024-07-09,LinkedIn,no_response,
R100,2024-07-05,LinkedIn,no_response,
R101,2024-11-14,LinkedIn,no_response,
R101,2024-03-29,LinkedIn,no_response,
R101,2024-07-05,Email,sent,
R102,2024-11-02,LinkedIn,opened,
R102,2024-05-11,Phone,opened,
R102,2024-12-25,LinkedIn,opened,
R102,2024-05-02,LinkedIn,opened,
R102,2024-02-17,LinkedIn,sent,
R102,2024-10-14,LinkedIn,sent,
R102,2024-06-27,Phone,replied,15
R103,2024-06-28,LinkedIn,declined,
R103,2024-04-08,Phone,sent,
R103,2024-11-25,Email,sent,
R103,2024-02-03,LinkedIn,scheduled,
R104,2024-03-10,Email,opened,
R104,2024-06-19,LinkedIn,opened,
R104,2024-12-31,LinkedIn,sent,
R104,2024-09-28,LinkedIn,sent,
R105,2024-02-28,Email,opened,
R105,2024-06-29,LinkedIn,no_response,
R105,2024-01-19,Email,sent,
R105,2024-08-13,Email,sent,
R105,2024-04-04,Email,no_response,
R105,2024-10-23,Email,replied,1
R106,2024-03-21,Phone,sent,
R106,2024-06-23,LinkedIn,no_response,
R106,2024-08-09,Phone,replied,13
R106,2024-04-12,LinkedIn,replied,48
R106,2024-02-23,Phone,replied,34
R107,2024-07-01,Phone,scheduled,
R107,2024-12-16,Phone,sent,
R107,2024-11-13,Phone,opened,
R107,2024-12-20,Email,clicked,
R107,2024-12-14,Phone,sent,
R108,2024-11-16,LinkedIn,opened,
R108,2024-03-08,LinkedIn,clicked,
R108,2024-01-28,LinkedIn,replied,30
R108,2024-09-30,LinkedIn,sent,
R108,2024-10-08,LinkedIn,sent,
R109,2024-12-25,Email,opened,
R109,2024-11-06,Email,sent,
R109,2024-04-28,Email,opened,
R109,2024-05-13,Email,sent,
R109,2024-05-08,Email,opened,
R109,2024-01-08,Phone,opened,
R109,2024-02-20,LinkedIn,sent,
R110,2024-12-06,Phone,sent,
R110,2024-10-07,Email,sent,
R110,2024-06-23,Phone,sent,
R111,2024-07-01,LinkedIn,clicked,
R111,2024-07-10,Email,opened,
R111,2024-09-05,Phone,sent,
R111,2024-08-22,LinkedIn,sent,
R111,2024-03-23,LinkedIn,sent,
R111,2024-04-02,LinkedIn,declined,
R112,2024-11-07,Email,sent,
R112,2024-09-24,LinkedIn,no_response,
R112,2024-04-29,Phone,opened,
R112,2024-03-11,LinkedIn,opened,
R112,2024-01-17,LinkedIn,scheduled,
R112,2024-09-09,LinkedIn,no_response,
R113,2024-05-01,Email,replied,19
R113,2024-01-10,Email,opened,
R113,2024-10-13,Phone,sent,
R114,2024-11-11,Phone,no_response,
R114,2024-11-21,Phone,sent,
R114,2024-09-29,LinkedIn,no_response,
R114,2024-11-01,Email,clicked,
R114,2024-10-19,Phone,replied,64
R115,2024-07-28,LinkedIn,replied,66
R115,2024-08-05,LinkedIn,sent,
R115,2024-08-28,LinkedIn,opened,
R116,2024-07-18,Email,sent,
R116,2024-08-03,Email,sent,
R116,2024-07-23,Email,sent,
R116,2024-08-03,Email,sent,
R116,2024-03-20,Email,scheduled,
R116,2024-09-23,Email,replied,57
R116,2024-02-04,Phone,opened,
R117,2024-10-15,Phone,sent,
R117,2024-01-18,Email,replied,44
R117,2024-06-13,Email,replied,12
R117,2024-01-13,Email,no_response,
R118,2024-07-20,Phone,scheduled,
R118,2024-08-16,LinkedIn,replied,40
R118,2024-12-11,Phone,sent,
R118,2024-12-31,Phone,replied,24
R118,2024-01-01,Phone,replied,11
R118,2024-11-14,Phone,replied,66
R119,2024-08-04,Email,sent,
R119,2024-02-03,Email,replied,1
R119,2024-12-24,Email,opened,
R119,2024-09-22,Email,clicked,
R120,2024-05-07,Phone,no_response,
R120,2024-07-30,Email,sent,
R120,2024-09-19,Email,sent,
R120,2024-11-07,Phone,no_response,
R121,2024-03-20,Email,no_response,
R121,2024-06-13,Email,no_response,
R121,2024-09-08,LinkedIn,sent,
R121,2024-01-12,LinkedIn,scheduled,
R121,2024-10-30,LinkedIn,sent,
R122,2024-07-30,Email,replied,58
R122,2024-10-08,LinkedIn,sent,
R122,2024-04-21,Phone,no_response,
R122,2024-07-29,LinkedIn,opened,
R122,2024-08-26,LinkedIn,replied,28
R123,2024-09-24,Email,opened,
R123,2024-10-24,Email,opened,
R123,2024-11-12,LinkedIn,sent,
R124,2024-02-27,Email,scheduled,
R124,2024-02-03,Email,opened,
R124,2024-09-19,Phone,sent,
R124,2024-12-30,Email,opened,
R124,2024-02-04,Email,no_response,
R124,2024-09-27,Phone,sent,
R124,2024-08-14,Email,sent,
R125,2024-01-25,Phone,opened,
R125,2024-08-21,Phone,no_response,
R125,2024-02-28,Phone,sent,
R125,2024-09-07,Phone,replied,68
R125,2024-11-30,Phone,replied,59
R125,2024-03-26,Phone,sent,
R125,2024-09-07,Phone,sent,
R126,2024-06-28,Phone,clicked,
R126,2024-07-25,Email,replied,71
R126,2024-12-09,Email,scheduled,
R126,2024-05-28,Phone,sent,
R127,2024-03-11,LinkedIn,sent,
R127,2024-04-30,Phone,opened,
R127,2024-09-09,Phone,opened,
R127,2024-04-02,LinkedIn,sent,
R127,2024-09-12,Email,opened,
R128,2024-09-10,Email,sent,
R128,2024-12-17,LinkedIn,sent,
R128,2024-10-14,Email,sent,
R128,2024-11-04,LinkedIn,sent,
R128,2024-02-28,Email,no_response,
R128,2024-03-09,Email,sent,
R128,2024-03-26,Phone,opened,
R129,2024-09-30,Email,sent,
R129,2024-08-14,LinkedIn,sent,
R129,2024-03-21,Phone,sent,
R129,2024-04-23,Phone,sent,
R130,2024-07-02,LinkedIn,sent,
R130,2024-10-06,Email,no_response,
R130,2024-11-17,Email,sent,
R130,2024-11-13,Phone,sent,
R131,2024-02-23,Phone,no_response,
R131,2024-07-15,LinkedIn,sent,
R131,2024-10-19,LinkedIn,scheduled,
R131,2024-10-19,Email,sent,
R131,2024-10-17,LinkedIn,sent,
R131,2024-06-28,LinkedIn,opened,
R131,2024-08-09,LinkedIn,replied,22
R132,2024-09-30,Phone,sent,
R132,2024-08-31,Phone,opened,
R132,2024-06-02,Phone,sent,
R132,2024-10-30,Phone,sent,
R132,2024-09-29,LinkedIn,replied,29
R132,2024-05-14,Email,sent,
R133,2024-11-08,Email,no_response,
R133,2024-01-08,Email,sent,
R133,2024-05-07,Email,no_response,
R133,2024-02-25,Phone,opened,
R133,2024-05-05,Email,no_response,
R133,2024-06-07,Email,sent,
R133,2024-02-28,Email,declined,
R134,2024-02-27,Email,clicked,
R134,2024-05-19,LinkedIn,opened,
R134,2024-06-24,Email,no_response,
R134,2024-04-17,Email,clicked,
R135,2024-07-29,LinkedIn,replied,69
R135,2024-03-14,LinkedIn,sent,
R135,2024-06-15,Email,clicked,
R136,2024-12-22,LinkedIn,no_response,
R136,2024-10-30,LinkedIn,sent,
R136,2024-08-20,LinkedIn,opened,
R137,2024-11-22,Phone,replied,45
R137,2024-06-30,LinkedIn,opened,
R137,2024-05-01,Email,sent,
R137,2024-11-29,Email,sent,
R137,2024-07-21,Email,no_response,
R137,2024-01-29,Email,replied,70
R137,2024-07-20,Email,replied,17
R137,2024-04-02,Email,clicked,
R138,2024-11-24,Phone,opened,
R138,2024-12-21,Phone,sent,
R138,2024-06-24,Phone,sent,
R138,2024-11-25,Phone,sent,
R138,2024-07-29,Phone,sent,
R139,2024-07-02,LinkedIn,no_response,
R139,2024-04-04,LinkedIn,no_response,
R139,2024-09-29,LinkedIn,opened,
R139,2024-05-16,Email,replied,39
R139,2024-08-24,LinkedIn,replied,40
R139,2024-12-18,LinkedIn,clicked,
R140,2024-09-21,Email,opened,
R140,2024-05-14,Phone,sent,
R140,2024-05-23,LinkedIn,opened,
R141,2024-01-19,Email,sent,
R141,2024-08-18,Email,opened,
R141,2024-05-13,Phone,replied,28
R142,2024-04-23,Phone,sent,
R142,2024-05-18,Phone,sent,
R142,2024-05-04,Phone,opened,
R142,2024-07-22,Phone,opened,
R142,2024-03-01,LinkedIn,sent,
R142,2024-09-06,Phone,sent,
R142,2024-10-24,Phone,replied,2
R142,2024-01-13,Phone,sent,
R143,2024-09-11,Email,no_response,
R143,2024-03-25,Email,opened,
R143,2024-01-20,Email,sent,
R143,2024-02-19,Email,sent,
R143,2024-06-12,Phone,declined,
R143,2024-04-01,LinkedIn,no_response,
R143,2024-03-28,Email,sent,
R143,2024-03-09,Phone,sent,
R144,2024-02-06,Email,sent,
R144,2024-09-09,Email,declined,
R144,2024-09-08,Email,sent,
R144,2024-05-19,Email,sent,
R144,2024-12-20,Email,sent,
R144,2024-06-16,Email,opened,
R144,2024-02-23,Email,no_response,
R145,2024-06-26,LinkedIn,clicked,
R145,2024-10-23,Email,sent,
R145,2024-10-27,LinkedIn,sent,
R145,2024-12-24,LinkedIn,sent,
R145,2024-04-15,LinkedIn,sent,
R145,2024-05-16,Email,declined,
R145,2024-07-08,Phone,sent,
R145,2024-05-07,Email,sent,
R146,2024-12-07,LinkedIn,opened,
